,Diagnosis,Symptoms,Weight
345,Trichomonas vaginalis infection vaginal infection,"['Lower abdominal pain', 'Stomach and abdominal pain']",0.5
349,Vaccination,"['Chills', 'Fever']",1.5
350,Vaginal cancer tumor,['Vaginal bleeding'],0.0
351,Vaginal foreign body,['Vaginal bleeding'],1.5
352,Vaginitis vaginal infection inflammation,"['Vaginal pain', 'Lower abdominal pain', 'Back ache or pain', 'Skin itching', 'Rash', 'Skin sores', 'Stomach and abdominal pain']",0.22
354,"Vascular insufficiency due to peripheral artery disease PAD, claudication, inadequate blood flow","['Muscle spasm', 'Arm swelling']",0.0
355,Vertebral artery dissection neck artery tear,"['Neck ache or pain', 'Vertigo (Room spinning)', 'Unsteady gait (Trouble walking)', 'Loss of balance', 'Headache and weakness']",1.0
356,Vertebral fracture broken back or neck bone,"['Back ache or pain', 'Low back ache or pain']",1.0
357,Vertebral- basilar artery insufficiency inadequate blood flow to the back of the brain vertebro-basilar insufficiency,"['Vertigo (Room spinning)', 'Visual problems', 'Fainting']",1.0
358,Vertebral-basilar stroke stroke in the back of the brain Vertebro basilar insufficiency,"['Vertigo (Room spinning)', 'Loss of balance']",1.0
361,Vitiligo loss of skin pigment,['Rash'],0.0
363,Vulvar squamous cell carcinoma skin cancer on female genitalia,"['Vaginal bleeding', 'Skin sores']",0.0
364,"Warfarin Coumadin, Jantoven overdose","['Overdose', 'Poisoning', 'Blood in urine (Hematuria)', 'Eye redness', 'Hemoptysis (Coughing blood)', 'Vaginal bleeding', 'Blood in vomit']",1.0
365,Warfarin Coumadin use,"['Bleeding tendency', 'Nasal bleeding', 'Vomiting coffee ground material', 'Bleeding gums']",0.86
366,Whiplash injury neck injury,"['Neck ache or pain', 'Arm ache or pain', 'Chest pressure', 'Headache']",0.8
368,Windshield wiper fluid Methanol poisoning,['Poisoning'],1.0
371,Essential tremor abnormal rhythmic shaking,['Tremors'],1.0
372,Lymphoma lymph node cancer,"['Skin itching', 'Neck swelling', 'Tired', 'Weight loss, unexplained', 'Swollen lymph nodes (Large lymph nodes)', 'Eye floaters', 'Arm itching', 'Foot itching', 'Hand itching', 'Armpit pain', 'Back ache or pain', 'Pain or soreness of breast', 'Fever', 'Low back ache or pain']",0.33
375,Swine Flu H1N1 Influenza,['Muscle pain'],0.83
376,Sagittal sinus thrombosis venous blood clot in the brain,['Seizure'],1.0
377,Cervical myelopathy spinal cord compression,['Hand numbness (paresthesias)'],1.0
378,Spinal cord tumor,"['Unsteady gait (Trouble walking)', 'Urinary retention (Inability to urinate)']",0.0
379,"Brain arteriovenous malformation blood vessel abnormality in the brain, AVM Arteriovenous malformation of brain","['Headache and weakness', 'Confusion and headache']",1.0
380,Carotid artery stenosis neck artery narrowing,"['Speech problem', 'Visual problems', 'Dizziness', 'Fainting']",0.2
381,Hydrocephalus brain fluid build-up,"['Headache', 'Change in behavior', 'Inconsolable baby', 'Incontinence (leaking urine)', 'Visual problems', 'Confusion', 'Headache and weakness', 'Confusion and headache']",1.82
382,Central cord syndrome traumatic spine injury,['Neck ache or pain'],1.0
383,Acne pimples,"['Rash', 'Pain in the ear', 'Skin itching', 'Skin sores']",
384,Allergic conjunctivitis allergic reaction in the eye,"['Eye pain (Irritation)', 'Eye redness']",2.0
385,Chemical burn,"['Painful rash', 'Blister (Pocket of fluid)', 'Skin swelling', 'Hand redness', 'Foot redness', 'Arm redness']",
386,Cradle cap infant scalp rash,['Rash'],1.0
389,Staphylococcus aureus type of bacteria,"['Swollen lymph nodes (Large lymph nodes)', 'Pustule (Collection of pus)', 'Rash', 'Skin sores']",2.0
390,Failure to thrive - child Failure to thrive-child Failure to thrive (child),['Learning difficulties'],2.0
391,Hemochromatosis excess iron disorder,"['Weight loss, unexplained', 'Jaundice (Yellowing skin)', 'Low heart rate']",0.6
393,"Coccidiomycosis valley fever, fungal infection",['Itchy rash (Pruritic rash)'],1.0
396,Rheumatic fever complication of strep infection,['Heart pulsations and palpitations'],2.0
399,Long QT Syndrome inherited heart condition,"['Fainting', 'Heart pulsations and palpitations', 'Dizziness']",2.33
401,Subconjunctival hemorrhage blood covering white part of the eye,['Eye redness'],2.0
402,Myotonia impaired muscle relaxation,['General weakness'],1.0
403,Carbuncle,"['Skin swelling', 'Pain in the ear', 'Rash', 'Skin sores']",1.0
406,Hyperosmolar hyperglycemic state severely elevated glucose level,['Confusion'],1.0
409,Cubital tunnel syndrome nerve compression in the elbow,"['Numbness', 'Hand numbness (paresthesias)', 'Arm ache or pain']",0.33
410,Foot fracture broken foot,['Leg ache or pain'],1.33
412,Broken heart syndrome Takotsubo cardiomyopathy,"['Shortness of breath', 'Chest pain']",1.0
413,Near drowning,['Abdominal swelling (Stomach swelling)'],1.0
415,Sea lice bite,"['Itchy rash (Pruritic rash)', 'Foot itching', 'Hand redness', 'Foot redness', 'Foot redness', 'Arm redness', 'Hand itching']",0.0
417,Sun poisoning,"['Blister (Pocket of fluid)', 'Confusion']",1.0
419,Vaginal yeast fungal infection,"['Vaginal pain', 'Skin itching', 'Rash', 'Stomach and abdominal pain']",0.75
420,Human papillomavirus infection HPV,['Vaginal pain'],2.0
421,Congenital heart disease heart defect at birth,"['Low heart rate', 'Shortness of breath']",1.8
422,Lumbar spinal stenosis spinal cord compression,"['Back ache or pain', 'Incontinence (leaking urine)', 'Numbness', 'Leg numbness (paresthesias)', 'Foot numbness (paresthesias)', 'Low back ache or pain', 'Leg ache or pain']",0.75
423,"Idiopathic thrombocytopenia purpura ITP, low platelets","['Bleeding gums', 'Blood in urine (Hematuria)', 'Vaginal bleeding']",2.0
425,"Ventricular tachycardia VT, dangerous irregular heart beat","['Dizziness', 'Fainting', 'Heart pulsations and palpitations', 'Chest pain']",1.25
426,Frostbite tissue damage from cold,"['Hand numbness (paresthesias)', 'Blister (Pocket of fluid)', 'Arm numbness (paresthesias)', 'Leg numbness (paresthesias)', 'Foot numbness (paresthesias)', 'Face numbness (paresthesias)']",1.86
427,"Skin blood vessel damage Chilblains, pernio","['Blister (Pocket of fluid)', 'Hand redness', 'Foot redness']",0.67
428,Lactose intolerance,"['Abdominal swelling (Stomach swelling)', 'Lower abdominal pain', 'Upper abdominal pain', 'Steatorrhea (Excess fat in stool)', 'Stomach and abdominal pain']",1.86
429,Graves' disease overproduction of thyroid hormone,"['Eye redness', 'Eye pain (Irritation)', 'Heart pulsations and palpitations']",0.33
430,"Angioedema swelling of skin, lips, eyes","['Skin swelling', 'Lip swelling', 'Eye swelling', 'Rash']",2.67
431,Hot tub follicullitis hair follicle infection Pustular folliculitis,['Itchy rash (Pruritic rash)'],2.0
432,Posterior vitreous detachment common eye abnormality,"['Visual flashing lights', 'Eye floaters']",1.0
434,Birth control pill use,['Amenorrhea (No menstruation)'],2.0
437,Hand fracture broken hand,['Arm ache or pain'],1.0
439,Mitral regurgitation leaking heart valve,"['Shortness of breath', 'Heart pulsations and palpitations', 'Fainting', 'Chest pain']",0.0
441,"Thalassemia Mediterranean anemia, inherited blood disorder",['Tired'],1.67
443,"Heart attack acute myocardial infarction, AMI","['Low heart rate', 'Armpit pain']",1.5
444,Medication reaction,"['Low heart rate', 'Infertility (Female)', 'Increased facial hair', 'Amenorrhea (No menstruation)', 'Loss of balance', 'Arm itching', 'Foot itching', 'Hand redness', 'Foot redness', 'Arm redness', 'Hand itching', 'Foot numbness (paresthesias)', 'Hand numbness (paresthesias)', 'Anxiety (Nervousness)', 'Change in behavior', 'Dizziness', 'Incontinence (leaking urine)', 'Insomnia (Trouble sleeping)', 'Obesity', 'Rash', 'Substance abuse (Drug abuse)', 'Vomiting', 'Tremors', 'Nipple discharge']",2.27
445,Myxedema coma severely low thyroid hormone,"['Hypothermia (Low temperature)', 'Seizure', 'Swelling of both legs', 'Low heart rate', 'Confusion']",1.0
446,Bed bugs,"['Arm itching', 'Foot itching', 'Foot redness', 'Hand redness', 'Arm redness', 'Hand itching']",1.0
447,Early menopause premature ovarian failure,['Amenorrhea (No menstruation)'],1.0
448,"Mayer Rokitansky Küster Hauser syndrome MRKH, inherited vaginal abnormality","['Amenorrhea (No menstruation)', 'Infertility (Female)']",1.0
450,Muscle tear,"['Arm swelling', 'Muscle pain', 'Neck swelling']",1.8
451,Gastroparesis stomach muscle malfunction,"['Abdominal swelling (Stomach swelling)', 'Stomach and abdominal pain', 'Upper abdominal pain']",0.0
453,Amaurosis fugax momentary vision loss in one eye,['Visual problems'],2.0
455,Foreign body in a wound,"['Arm ache or pain', 'Skin sores']",2.22
456,Wound infection cut infection,"['Fever', 'Leg ache or pain']",2.12
457,Spleen injury splenic rupture,"['Abdominal swelling (Stomach swelling)', 'Flank pain', 'Kidney pain (Flank pain)']",1.0
458,Radiation exposure radiation sickness,['Pain or soreness of breast'],1.0
459,Tape worm infection,['Seizure'],1.0
460,Basal cell carcinoma skin cancer,['Skin sores'],0.5
461,Skin tags acrochordons,['Skin sores'],1.0
464,Compression fracture broken spinal bone,"['Leg numbness (paresthesias)', 'Foot numbness (paresthesias)']",0.0
465,Flea bite,['Itchy rash (Pruritic rash)'],2.0
466,Gilbert's disease liver abnormality,['Jaundice (Yellowing skin)'],1.5
467,Newborn jaundice newborn skin discoloration,['Jaundice (Yellowing skin)'],1.0
470,Lewy body dementia common type of dementia,"['Change in behavior', 'Unsteady gait (Trouble walking)', 'Confusion']",0.5
473,Sarcoma soft tissue cancer,"['Leg ache or pain', 'Swelling of both legs', 'Shoulder ache or pain', 'Arm ache or pain', 'Arm swelling', 'Armpit pain', 'Low back ache or pain']",0.0
474,Bone cancer bone tumor,"['Arm ache or pain', 'Arm swelling', 'Leg ache or pain', 'Shoulder ache or pain', 'Armpit pain', 'Low back ache or pain']",1.0
475,"Mastocytosis urticaria pigmentosa, skin disease","['Hives', 'Itchy rash (Pruritic rash)']",2.0
482,Complex migraine migraine with neurologic changes,['Double vision (Diplopia)'],0.0
484,Small cell lung cancer,['Hemoptysis (Coughing blood)'],0.0
486,Tension headache stress headache,"['Headache', 'Neck ache or pain']",0.33
491,Varicose veins,['Leg ache or pain'],1.0
500,Lumbar spondylosis spine arthritis,['Back ache or pain'],1.0
518,Focal seizure partial seizure,"['Seizure', 'Visual problems', 'Tremors', 'Numbness', 'Visual flashing lights']",1.2
519,Generalized seizure disorder generalized epilepsy,"['Seizure', 'Seizure', 'Tremors', 'Incontinence (leaking urine)']",1.5
520,Peyronie's disease abnormal curvature of the penis,['Impotence'],0.0
521,Duodenal cancer small intestine,"['Weight loss, unexplained', 'Tired', 'Stomach and abdominal pain']",1.0
522,Essential thrombocythemia excessive blood platelets,"['Stomach and abdominal pain', 'Headache', 'Numbness', 'Speech problem', 'Unsteady gait (Trouble walking)', 'Arm swelling']",0.0
523,Extragonadal germ cell tumors,"['Weight loss, unexplained', 'Fever of unknown origin', 'Tired', 'Lower abdominal pain', 'Abdominal swelling (Stomach swelling)', 'Chest pain']",0.0
524,Food allergy,"['Vomiting', 'Shortness of breath', 'Hives', 'Rash', 'Lip swelling', 'Mouth swelling', 'Swallowing problem (Dysphagia)']",1.38
525,Foot ulcer,"['Foot redness', 'Skin sores', 'Fever']",0.4
526,Fragile X syndrome genetic disorder,"['Seizure', 'Learning difficulties']",0.0
527,Glomerulonephritis kidney disease,"['Tired', 'Vomiting', 'Swelling of both legs']",0.0
528,Graves eye disease Graves ophthalmopathy,"['Visual problems', 'Double vision (Diplopia)']",0.0
529,Head injury in children Non-accidental traumatic head injury to child,"['Vomiting', 'Headache', 'Numbness', 'Fainting', 'Dizziness', 'Speech problem']",0.62
530,"Hemorrhagic stroke CVA, cerebrovascular accident","['Seizure', 'Visual problems', 'Headache', 'Speech problem', 'Fainting', 'Numbness', 'Unsteady gait (Trouble walking)']",1.25
531,Hyperkeratosis skin thickening,"['Skin itching', 'Skin sores']",0.5
532,Lacunar stroke,"['Visual problems', 'Speech problem', 'Numbness', 'Unsteady gait (Trouble walking)', 'Loss of balance', 'Facial droop (weakness)', 'Face numbness (paresthesias)']",1.0
533,Large cell lung cancer,"['Weight loss, unexplained', 'Fever of unknown origin', 'Tired', 'Shortness of breath', 'Cough', 'Hemoptysis (Coughing blood)']",0.0
534,Malignant Mesothelioma,"['Weight loss, unexplained', 'Fever of unknown origin', 'Tired', 'Chest pain', 'Shortness of breath', 'Cough']",0.0
536,Morton's neuroma,['Numbness'],0.0
537,Neuroblastoma,['Fever'],0.0
538,Paget disease of the bone paget's disease of the bone,"['Leg ache or pain', 'Headache', 'Arm ache or pain', 'Leg numbness (paresthesias)', 'Arm numbness (paresthesias)', 'Back ache or pain']",0.0
539,Paraphimosis,['Impotence'],0.0
540,Post-polio syndrome,"['Shortness of breath', 'Unsteady gait (Trouble walking)', 'Speech problem', 'Muscle pain', 'Muscle spasm', 'Insomnia (Trouble sleeping)']",0.0
542,Rectocele,['Back ache or pain'],0.33
543,Retinitis pigmentosa,['Visual problems'],0.0
544,Retinoblastoma pediatric eye cancer,"['Visual problems', 'Eye redness', 'Eye swelling']",0.0
545,Shoulder sprain,"['Bleeding tendency', 'Shoulder ache or pain']",1.0
546,Squamous cell lung cancer,"['Weight loss, unexplained', 'Tired', 'Chest pain', 'Shortness of breath', 'Cough', 'Hemoptysis (Coughing blood)']",0.0
547,Tay-Sachs disease,"['Seizure', 'Visual problems', 'Loss of balance']",0.0
548,Traumatic hip dislocation traumatic dislocation of hip,"['Leg ache or pain', 'Numbness']",0.25
549,Traveler's diarrhea Montezuma's revenge,"['Vomiting', 'Stomach and abdominal pain']",1.5
550,Wilms' Tumor,"['Vomiting', 'Stomach and abdominal pain']",0.0
551,Amyloidosis,"['Tired', 'Vomiting', 'Shortness of breath', 'Rash', 'Numbness']",0.0
552,Arnold Chiari malformation,"['Headache', 'Dizziness']",0.0
553,Broken jaw mandible fracture,"['Bleeding tendency', 'Numbness', 'Jaw pain']",0.0
554,Dermatofibroma,['Skin itching'],0.0
555,Broken leg leg fracture,"['Leg ache or pain', 'Leg numbness (paresthesias)']",0.33
559,Supraventricular tachycardia SVT,"['Chest pain', 'Shortness of breath', 'Dizziness', 'Heart pulsations and palpitations', 'Chest pressure', 'Fainting']",0.5
560,Traumatic brain injury,"['Vomiting', 'Headache', 'Dizziness', 'Confusion']",0.67
561,Lymphadenitis,"['Arm redness', 'Armpit pain', 'Fever']",0.8
562,Stuttering,['Speech problem'],0.0
565,Complex partial seizures psychomotor epilepsy,"['Tremors', 'Tremors', 'Anxiety (Nervousness)']",0.0
566,Blocked tear duct dacryostenosis,['Eye redness'],0.0
567,Bacterial tracheitis,"['Fever', 'Cough', 'Sore throat']",0.0
570,Finger amputation,['Numbness'],0.0
571,Cutaneous T cell lymphoma,['Skin itching'],0.0
573,"Ductal carcinoma in situ DCIS, breast cancer",['Nipple discharge'],0.0
574,Triple negative breast cancer,['Nipple discharge'],0.0
575,Invasive ductal carcinoma,['Nipple discharge'],0.0
577,Failure to thrive - adult failure to thrive,"['Confusion', 'Depressed']",1.0
583,Burkitt lymphoma lymph node tumor,"['Neck swelling', 'Swollen lymph nodes (Large lymph nodes)']",2.0
584,"Genital warts HPV, Human papillomavirus infection",['Skin sores'],0.0
585,Hand foot and mouth disease Coxsackie virus,"['Fever', 'Mouth pain', 'Mouth ulcers', 'Mouth swelling', 'Painful gums']",1.38
586,Lead overdose lead poisoning,['Poisoning'],1.5
587,Lead poisoning toxicity,"['Learning difficulties', 'Arm numbness (paresthesias)', 'Hand numbness (paresthesias)', 'Leg numbness (paresthesias)', 'Foot numbness (paresthesias)']",2.0
588,"Pharyngeal pouch Zenker's diverticulum, weakening of the esophageal wall",['Neck swelling'],1.0
589,Shoulder joint dislocation dislocated shoulder,"['Shoulder ache or pain', 'Arm numbness (paresthesias)', 'Arm ache or pain']",1.0
590,"Trichinella spiralis infection trichinosis, parasitic infection from undercooked pork",['Muscle pain'],0.0
591,Whooping cough pertussis,['Cough'],2.0
592,"HIV AIDS Human Immunodeficiency Virus, Acquired Immune Deficiency Syndrome Human immunodeficiency virus [HIV] disease","['Seizure', 'Fever', 'Mouth pain', 'Swollen lymph nodes (Large lymph nodes)', 'Weight loss, unexplained', 'Weight loss, unexplained', 'Lower abdominal pain', 'Dizziness', 'Stomach and abdominal pain']",1.2
593,Dyslexia reading disorder,['Learning difficulties'],2.0
595,Pubic lice,"['Itchy rash (Pruritic rash)', 'Skin itching']",1.0
596,Rickets childhood bone disease,"['Muscle pain', 'Low back ache or pain']",1.5
597,Obesity,"['Back ache or pain', 'Amenorrhea (No menstruation)', 'Snoring', 'Low back ache or pain', 'Depressed', 'Obesity', 'Shortness of breath']",0.67
598,Liver injury liver trauma,['Abdominal swelling (Stomach swelling)'],1.0
600,Reflex sympathetic dystrophy complex pain syndrome,"['Arm ache or pain', 'Back ache or pain', 'Leg ache or pain', 'Stomach and abdominal pain']",0.0
602,"Bulimia nervosa binge eating, vomiting","['Weight loss, unexplained', 'Amenorrhea (No menstruation)', 'Infertility (Female)']",1.67
603,Cholelithiasis gallstones,"['Upper abdominal pain', 'Flank pain', 'Shoulder ache or pain', 'Vomiting', 'Jaundice (Yellowing skin)', 'Stomach and abdominal pain', 'Lower abdominal pain', 'Back ache or pain', 'Chest pressure', 'Kidney pain (Flank pain)', 'Chest pain']",
605,Cocaine abuse,"['Substance abuse (Drug abuse)', 'Nasal bleeding', 'Change in behavior', 'Depressed', 'Fainting', 'Delusions or hallucinations', 'Chest pain']",1.25
606,Corneal foreign body object in the eye,"['Eye pain (Irritation)', 'Visual problems', 'Eye redness', 'Blurry vision']",2.0
607,Cutaneous larva migrans parasitic skin disease,"['Skin itching', 'Itchy rash (Pruritic rash)', 'Arm itching', 'Foot itching', 'Hand itching']",0.0
610,Measles viral disease with typical rash,"['Bleeding tendency', 'Fever']",1.5
611,Methyl alcohol intoxication methanol,"['Visual problems', 'Fainting']",1.0
612,Pityriasis rosea inflammatory skin rash,"['Rash', 'Itchy rash (Pruritic rash)', 'Arm itching', 'Foot itching', 'Foot redness', 'Hand redness', 'Arm redness', 'Hand itching', 'Skin itching', 'Skin sores']",0.36
613,Rickettsial infections type of bacterial infection,['Fever in the returning traveler'],2.33
614,Septic arthritis joint infection,"['Arm ache or pain', 'Leg ache or pain', 'Swelling of both legs', 'Arm swelling']",1.5
615,Sickle cell crisis complication of sickle cell disease,['Seizure'],1.0
616,Tick borne encephalitis brain infection,['Confusion and headache'],1.0
617,Tuberculosis infection TB,"['Fever in the returning traveler', 'Tired', 'Failure to thrive', 'Cough']",0.0
618,Typhoid fever salmonella typhi infection from contaminated food or water,"['Fever in the returning traveler', 'Cough', 'Confusion and headache']",1.25
619,Nasal foreign body unnatural object in the nose,['Nasal bleeding'],1.33
620,Hodgkin's disease cancer of the lymph system,"['Swollen lymph nodes (Large lymph nodes)', 'Skin itching', 'Arm itching', 'Foot itching', 'Hand itching', 'Stomach and abdominal pain']",0.3
621,Body lice,"['Itchy rash (Pruritic rash)', 'Rash', 'Arm itching', 'Foot itching', 'Hand redness', 'Foot redness', 'Foot redness', 'Arm redness', 'Hand itching', 'Armpit pain', 'Skin sores']",1.73
622,Cat scratch fever bacterial infection after cat scratch,"['Swollen lymph nodes (Large lymph nodes)', 'Neck swelling']",1.33
623,Sunburn,"['Blister (Pocket of fluid)', 'Skin swelling', 'Hand redness', 'Foot redness', 'Arm redness', 'Rash']",1.8
625,Mucormycosis fungal infection,['Facial pain'],0.0
626,Japanese encephalitis viral brain infection,['Fever in the returning traveler'],1.0
630,Familial dysautonomia genetic disorder,"['Vomiting', 'Seizure', 'Choking', 'Failure to thrive', 'Fainting', 'Shortness of breath']",0.0
631,Friedreich's Ataxia genetic disorder,"['Weight loss, unexplained', 'Tired', 'Chest pain', 'Shortness of breath', 'Tremors', 'Unsteady gait (Trouble walking)', 'Speech problem', 'Numbness']",0.0
632,Excessive hair growth Hirsutism,['Increased facial hair'],1.0
633,Scurvy vitamin C deficiency,"['Tired', 'Bleeding tendency', 'Muscle pain', 'Bleeding gums']",0.0
634,Chlamydia trachomatis infection STD,['Vaginal pain'],1.2
635,Chronic pain,"['Lethargy (Sluggishness)', 'Low back ache or pain', 'Arm ache or pain', 'Back ache or pain', 'Depressed']",0.0
636,Dysfunctional uterine bleeding abnormal vaginal bleeding,['Vaginal bleeding'],1.0
637,Genital herpes HSV type 2 infection,"['Vaginal pain', 'Rash', 'Skin sores']",0.67
638,Hordeolum stye of eye,"['Eye pain (Irritation)', 'Pustule (Collection of pus)', 'Eye swelling']",2.0
641,Neisseria gonorrhea infection sexually transmitted disease,"['Frequent urination (Frequency)', 'Stomach and abdominal pain']",0.83
642,Polyphagia overeating,"['Obesity', 'Vomiting']",
645,Retropharyngeal abscess throat abscess,"['Swallowing problem (Dysphagia)', 'Neck ache or pain']",1.2
646,Septic shock low blood pressure from serious blood infection,['Confusion'],1.0
647,Sexually transmitted disease STD,"['Lower abdominal pain', 'Skin itching']",0.33
648,"Torticollis, spasmodic neck muscle spasm","['Neck ache or pain', 'Muscle spasm']",1.5
649,Urinary tract malformation,['Frequent urination (Frequency)'],1.0
651,Head lice,"['Itchy rash (Pruritic rash)', 'Rash', 'Skin itching', 'Skin sores']",1.5
655,Moles nevi,['Skin sores'],2.0
657,Pterygium growth on the eye,['Eye redness'],1.0
660,Bullous myringitis middle ear infection,"['Ear pressure', 'Pain in the ear']",
665,Scleritis inflammation of the eye,"['Visual problems', 'Visual problems', 'Eye redness', 'Eye pain (Irritation)']",0.0
666,Herpangina mouth blisters,"['Fever', 'Sore throat', 'Mouth pain', 'Mouth ulcers']",1.0
667,Farsightedness hyperopia/hypermetropia,"['Visual problems', 'Headache']",2.0
668,Parathyroid cancer,"['Weight loss, unexplained', 'Leg ache or pain', 'Vomiting', 'Arm ache or pain', 'Confusion']",0.0
669,Presbyopia aging vision,"['Visual problems', 'Headache']",0.5
670,Tropical sprue,"['Vomiting', 'Stomach and abdominal pain']",0.0
671,Ichthyosis,['Skin itching'],0.0
672,Vitamin D deficiency,"['Muscle spasm', 'Muscle pain']",0.0
673,Tic Disorder,['Tremors'],0.0
674,Retinopathy,"['Visual problems', 'Double vision (Diplopia)', 'Eye pain (Irritation)', 'Eye redness']",0.0
675,Achilles tendonitis (heel tendon inflammation),['Leg ache or pain'],1.5
676,Cavernous sinus thrombosis head vein blood clot,"['Eye pain (Irritation)', 'Headache and weakness']",1.0
677,Dry socket pain after tooth removal,['Painful gums'],1.0
678,Epidural abscess brain or spine pus collection,['Confusion and headache'],1.0
679,Poliomyelitis polio,['General weakness'],1.0
681,Shigellosis bacterial intestinal infection,['Fever in the returning traveler'],2.2
682,Sickle cell disease disease of red blood cells,"['Blood in urine (Hematuria)', 'Arm ache or pain', 'Back ache or pain', 'Pain or soreness of breast', 'Leg ache or pain', 'Chest pain', 'Low back ache or pain']",1.44
684,Rocky mountain spotted fever bacterial infection spread by ticks,['Fever'],1.67
685,"Tourette syndrome repetitive involuntary movements, vocalizations",['Tremors'],0.0
687,Hidradenitis suppurativa chronic collections of pus,"['Armpit pain', 'Pain or soreness of breast', 'Rash', 'Skin sores']",0.33
691,Retrobulbar Neuritis,"['Visual problems', 'Visual problems', 'Eye pain (Irritation)']",0.0
692,Fibromuscular dysplasia FMD,"['Headache', 'Speech problem', 'Numbness', 'Facial droop (weakness)', 'Vertigo (Room spinning)', 'Neck ache or pain']",0.0
693,Anorexia nervosa (eating disorder),"['Hypothermia (Low temperature)', 'Weight loss, unexplained']",1.25
694,Esophageal cyst,['Swallowing problem (Dysphagia)'],1.0
695,Filariasis elephantiasis,['Fever in the returning traveler'],
696,"Hantavirus infection rare, serious viral infection",['Fever in the returning traveler'],1.0
697,"Infectious mononucleosis Epstein Barr virus, ""Mono""",['Tired'],1.5
698,Lichen planus chronic skin inflammation,"['Vaginal pain', 'Arm itching', 'Foot itching', 'Hand redness', 'Foot redness', 'Arm redness', 'Hand itching', 'Skin itching', 'Rash']",
699,Lipoma benign fatty tumor,"['Neck swelling', 'Skin sores']",1.0
701,Mononucleosis common viral illness,"['Chills', 'Fever', 'Swollen lymph nodes (Large lymph nodes)', 'Pain in the ear', 'Sore throat', 'Throat pain']",1.33
702,Optic neuritis optic nerve inflammation,"['Eye pain (Irritation)', 'Visual problems', 'Visual flashing lights', 'Blurry vision']",1.0
703,Mouth cancer oropharyngeal cancer,"['Speech problem', 'Mouth pain', 'Neck swelling', 'Sore throat', 'Swallowing problem (Dysphagia)', 'Throat pain', 'Mouth ulcers', 'Mouth swelling', 'Swollen gums']",0.18
704,"Pelvic inflammatory disease PID, female reproductive organ infection","['Lower abdominal pain', 'Back ache or pain', 'Chills', 'Fever', 'Vaginal bleeding', 'Infertility (Female)', 'Low back ache or pain', 'Stomach and abdominal pain']",0.82
705,Serotonin syndrome severe medication reaction,['Tremors'],0.0
706,Toothache,['Mouth pain'],2.0
707,Brachial plexus injury shoulder nerve injury,"['Shoulder ache or pain', 'Neck ache or pain', 'Hand numbness (paresthesias)', 'Armpit pain', 'Arm numbness (paresthesias)']",1.14
708,Chicken pox varicella virus,"['Blister (Pocket of fluid)', 'Pustule (Collection of pus)', 'Loss of balance', 'Arm itching', 'Foot itching', 'Hand redness', 'Foot redness', 'Arm redness', 'Hand itching', 'Rash']",1.07
709,"Carcinoid syndrome flushing, diarrhea",['Hot flashes'],1.0
710,Goodpasture syndrome disease of kidneys and lungs,"['Hemoptysis (Coughing blood)', 'Blood in urine (Hematuria)']",1.0
713,Tear duct infection Dacryocystitis,"['Fever', 'Eye redness', 'Eye swelling', 'Eye pain (Irritation)']",1.0
714,Testicular hypofunction,['Impotence'],0.0
715,Turner syndrome gonadal dysgenesis,"['Infertility (Female)', 'Amenorrhea (No menstruation)', 'Visual problems', 'Visual problems', 'Obesity', 'Learning difficulties']",0.0
716,Meralgia Paresthetica,"['Leg ache or pain', 'Leg numbness (paresthesias)']",1.0
717,Alcohol ethanol intoxication,"['Alcohol abuse', 'Hypothermia (Low temperature)', 'Urinary retention (Inability to urinate)', 'Loss of balance', 'Speech problem', 'Change in behavior', 'Incontinence (leaking urine)']",0.88
718,Brain abscess collection of pus in the brain,['Confusion and headache'],1.0
719,Breast fat necrosis dead breast fat,['Nipple discharge'],0.0
721,Hemophilia inherited bleeding disorder,"['Bleeding tendency', 'Bleeding gums', 'Hemoptysis (Coughing blood)', 'Nasal bleeding']",1.0
722,Migraine type of headache,"['Eye pain (Irritation)', 'Headache', 'Vertigo (Room spinning)', 'Visual problems', 'Vomiting', 'Speech problem', 'Jaw pain', 'Visual flashing lights', 'Blurry vision', 'Face numbness (paresthesias)', 'Dizziness', 'Insomnia (Trouble sleeping)', 'Neck ache or pain']",1.2
723,Post-traumatic stress disorder PTSD,"['Anxiety (Nervousness)', 'Depressed', 'Change in behavior', 'Delusions or hallucinations', 'Insomnia (Trouble sleeping)']",
725,Tarsal tunnel syndrome foot nerve damage,['Foot numbness (paresthesias)'],0.67
726,Tonsillar cancer tumor tongue,['Swallowing problem (Dysphagia)'],0.0
727,Toxoplasma infection Toxoplasmosis parasite infection,"['Eye pain (Irritation)', 'Swollen lymph nodes (Large lymph nodes)']",0.0
728,Inhaled foreign body in respiratory tract,['Choking'],3.0
729,Neurofibromatosis inherited nerve tumors,"['Seizure', 'Numbness', 'Learning difficulties', 'Skin sores']",0.4
731,Fallopian tube cancer,"['Fever of unknown origin', 'Tired', 'Vaginal bleeding']",0.0
732,AC joint separation acromioclavicular joint separation closed separation of acromioclavicular joint,['Arm ache or pain'],0.33
733,Back trauma injury,"['Trauma', 'Low back ache or pain', 'Back ache or pain', 'Flank pain', 'Kidney pain (Flank pain)', 'Leg ache or pain', 'Neck ache or pain']",0.38
734,Chest trauma injury,"['Trauma', 'Chest pain', 'Nipple discharge']",1.75
735,Eye trauma injury,['Trauma'],2.0
